,budget,company,genre,gross,name,score,votes,year
67,15000000.0,Warner Bros.,Adventure,1953732.0,The Clan of the Cave Bear,5.3,5340,1986
68,12000000.0,Golan-Globus Productions,Action,17768900.0,The Delta Force,5.6,15819,1986
69,0.0,Warner Bros.,Drama,8988731.0,Deadly Friend,5.5,5419,1986
70,0.0,TriStar Pictures,Comedy,38702310.0,About Last Night...,6.2,12307,1986
71,0.0,Balcor Film Investors,Comedy,27820000.0,Soul Man,5.2,6440,1986
72,0.0,De Laurentiis Entertainment Group (DEG),Comedy,6797218.0,Trick or Treat,5.8,4585,1986
73,18000000.0,Paramount Pictures,Comedy,36611610.0,Gung Ho,6.2,9965,1986
74,0.0,American Filmworks,Crime,25147055.0,The Morning After,6.0,4943,1986
75,0.0,Police Academy Productions,Comedy,43579163.0,Police Academy 3: Back in Training,5.2,35443,1986
76,175000.0,40 Acres & A Mule Filmworks,Comedy,7137502.0,She's Gotta Have It,6.6,5257,1986
77,0.0,Touchstone Pictures,Comedy,71624879.0,Ruthless People,6.9,22554,1986
78,8700000.0,Delphi V Productions,Action,4865912.0,Band of the Hand,6.3,2297,1986
79,0.0,Cannon Group,Crime,5186646.0,52 Pick-Up,6.4,3866,1986
80,0.0,Paramount Pictures,Drama,31853080.0,Children of a Lesser God,7.2,12538,1986
81,12000000.0,Columbia Pictures Corporation,Action,15945534.0,Armed and Dangerous,5.6,9040,1986
82,1100000.0,Black Snake,Comedy,1436000.0,Down by Law,7.8,39456,1986
83,10000000.0,Orion Pictures,Action,20603715.0,F/X,6.7,14502,1986
84,0.0,Fuji Television Network,Adventure,13245219.0,The Adventures of Milo and Otis,7.1,9178,1986
85,0.0,Religioso Primitiva,Comedy,8362969.0,Something Wild,6.9,13186,1986
86,18000000.0,Gladden Entertainment,Sci-Fi,3900000.0,The Manhattan Project,6.1,4666,1986
87,5000000.0,Paramount Pictures,Horror,12947763.0,April Fool's Day,6.2,11458,1986
88,25000000.0,Brooksfilms,Action,1579260.0,Solarbabies,4.8,3397,1986
89,0.0,Kings Road Entertainment,Comedy,17685307.0,The Big Easy,6.6,10022,1986
90,0.0,Lawrence Gordon Productions,Comedy,25587804.0,Jumpin' Jack Flash,5.8,15703,1986
91,40000000.0,Carthago Films S.a.r.l.,Adventure,1641825.0,Piratas,6.1,6596,1986
92,0.0,Meltdown Productions,Animation,5274.0,When the Wind Blows,7.8,7900,1986
93,10000000.0,Touchstone Pictures,Comedy,21458229.0,Tough Guys,6.2,5584,1986
94,0.0,Compañía Iberoamericana de TV,Drama,206952.0,Matador,7.0,8959,1986
95,0.0,New World Pictures,Action,6637565.0,Black Moon Rising,5.4,4045,1986
96,12000000.0,Cinema Group Ventures,Comedy,7790931.0,The Best of Times,5.9,5523,1986
97,2000000.0,Paragon Arts International,Horror,7369373.0,Witchboard,5.7,4744,1986
98,14000000.0,Touchstone Pictures,Comedy,62134225.0,Down and Out in Beverly Hills,6.1,13569,1986
99,8500000.0,Capital Equipment Leasing,Biography,277646.0,Lady Jane,7.2,5364,1986
100,0.0,Columbia Pictures Corporation,Crime,7634909.0,Quicksilver,5.6,3720,1986
101,0.0,Sunbow Productions,Animation,5958456.0,My Little Pony: The Movie,6.0,2125,1986
102,0.0,Virgin Vision,Horror,916172.0,Gothic,5.7,5843,1986
103,18000000.0,Producers Sales Organization (PSO),Action,1305114.0,8 Million Ways to Die,5.7,3607,1986
104,0.0,TriStar Pictures,Crime,12303904.0,No Mercy,5.7,5564,1986
105,0.0,Orion Pictures,Comedy,8033397.0,Haunted Honeymoon,5.6,5549,1986
