;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4
92;40000000;Carthago Films S.a.r.l.;Adventure;1641825;Piratas;6,1;6596;1986;;;;
93;0;Meltdown Productions;Animation;5274;When the Wind Blows;7,8;7900;1986;;;;
94;10000000;Touchstone Pictures;Comedy;21458229;Tough Guys;6,2;5584;1986;;;;
95;0;Compañía Iberoamericana de TV;Drama;206952;Matador;7;8959;1986;;;;
96;0;New World Pictures;Action;6637565;Black Moon Rising;5,4;4045;1986;;;;
97;12000000;Cinema Group Ventures;Comedy;7790931;The Best of Times;5,9;5523;1986;;;;
98;2000000;Paragon Arts International;Horror;7369373;Witchboard;5,7;4744;1986;;;;
99;14000000;Touchstone Pictures;Comedy;62134225;Down and Out in Beverly Hills;6,1;13569;1986;;;;
100;8500000;Capital Equipment Leasing;Biography;277646;Lady Jane;7,2;5364;1986;;;;
101;0;Columbia Pictures Corporation;Crime;7634909;Quicksilver;5,6;3720;1986;;;;
102;0;Sunbow Productions;Animation;5958456;My Little Pony: The Movie;6;2125;1986;;;;
103;0;Virgin Vision;Horror;916172;Gothic;5,7;5843;1986;;;;
104;18000000;Producers Sales Organization (PSO);Action;1305114;8 Million Ways to Die;5,7;3607;1986;;;;
105;0;TriStar Pictures;Crime;12303904;No Mercy;5,7;5564;1986;;;;
106;0;Orion Pictures;Comedy;8033397;Haunted Honeymoon;5,6;5549;1986;;;;
107;0;Empire Pictures;Comedy;320256;TerrorVision;5,7;4620;1986;;;;
108;0;Golan-Globus Productions;Action;3751699;Allan Quatermain and the Lost City of Gold;4,4;7491;1986;;;;
109;0;HandMade Films;Crime;5794184;Mona Lisa;7,4;10747;1986;;;;
110;0;Delphi Films;Comedy;32324557;Nothing in Common;5,9;5345;1986;;;;
111;8000000;Cannon Group;Action;11834302;Firewalker;5;4752;1986;;;;
112;0;Cannon Screen Entertainment;Adventure;483460;Castaway;6;2649;1986;;;;
113;3300000;Amaretto Films;Comedy;4941117;Vamp;5,9;3909;1986;;;;
114;0;British Film Institute (BFI);Biography;3151;Caravaggio;6,7;4072;1986;;;;
115;0;Les Films Plain Chant;Crime;21483;Mauvais Sang;7,3;4922;1986;;;;
116;0;Paramount Pictures;Drama;4636169;Fire with Fire;6,6;1264;1986;;;;
117;15000000;Warner Bros.;Comedy;12308521;Club Paradise;4,9;5049;1986;;;;
118;40000000;Universal Pictures;Comedy;49851591;Legal Eagles;5,9;8374;1986;;;;
119;0;Thorn EMI Screen Entertainment;Comedy;1476356;Clockwise;6,6;9689;1986;;;;
120;0;Atlantic Entertainment Group;Drama;13418091;Extremities;6,3;2705;1986;;;;
121;13000000;Metro-Goldwyn-Mayer (MGM);Comedy;8475466;Wise Guys;5,6;4573;1986;;;;
122;0;Atlantic Entertainment Group;Drama;2444076;The Men's Club;4,5;680;1986;;;;
123;0;DD Productions;Drama;4940939;Jean de Florette;8,1;20914;1986;;;;
124;0;Balcor Film Investors;Drama;2510433;Reform School Girls;5,2;1717;1986;;;;
125;0;DD Productions;Drama;3940542;Manon of the Spring;8;17849;1986;;;;
126;17000000;HandMade Films;Adventure;2315683;Shanghai Surprise;3,1;4339;1986;;;;
127;16000000;Lorimar Productions;Drama;3800000;Power;5,7;2287;1986;;;;
128;0;Not specified;Comedy;604849;Modern Girls;5,9;1023;1986;;;;
129;20000000;De Laurentiis Entertainment Group (DEG);Comedy;22905500;Crimes of the Heart;6,4;3079;1986;;;;
130;0;Cinema VII;Horror;2278264;Nomads;5,5;3006;1986;;;;
131;0;Empire Pictures;Action;4601256;Eliminators;4,5;1422;1986;;;;
132;0;TMS Pictures;Comedy;2147228;Meatballs III: Summer Job;3,3;2003;1986;;;;
133;6000000;Golan-Globus Productions;Action;9947631;Murphy's Law;5,9;3561;1986;;;;
134;0;Edward R. Pressman Film;Musical;2545142;True Stories;7;3885;1986;;;;
135;0;Warner Bros.;Comedy;10090429;Under the Cherry Moon;4,9;2549;1986;;;;
136;0;Delphi V Productions;Drama;278623;Every Time We Say Goodbye;5,9;1834;1986;;;;
137;0;Goldcrest Films International;Drama;930211;Absolute Beginners;5,6;2659;1986;;;;
