;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4;Franchise;Disney_princess
53;80000000.0;Walt Disney Pictures;Animation;60655420.0;Fantasia 2000;7.2;29666.0;1999.0;;;;;;
54;0.0;Bandai Visual Company;Animation;94591.0;Jin-Roh: The Wolf Brigade;7.5;12129.0;1999.0;;;;;;
55;30000000.0;4 Kids Entertainment;Animation;43758684.0;Pokémon: The Movie 2000;6;16683.0;1999.0;;;;;;
56;25000000.0;Morgan Creek Productions;Animation;11956538.0;The King and I;4.1;3209.0;1999.0;;;;;;
57;100000000.0;Walt Disney Feature Animation;Animation;89302687.0;The Emperor's New Groove;7.3;141885.0;2000.0;;;;;;
58;95000000.0;DreamWorks Animation;Animation;50863742.0;The Road to El Dorado;6.9;65786.0;2000.0;;;;;;
59;127500000.0;Walt Disney Pictures;Animation;137748063.0;Dinosaur;6.5;42134.0;2000.0;;;;;;
60;45000000.0;Aardman Animations;Animation;106834564.0;Chicken Run;7;150396.0;2000.0;;;;;;
61;75000000.0;David Kirschner Productions;Animation;22751979.0;Titan A.E.;6.6;54115.0;2000.0;;;;;;
62;76000000.0;Capella International;Animation;26000610.0;The Adventures of Rocky & Bullwinkle;4.2;17406.0;2000.0;;;;;;
63;30000000.0;Paramount Pictures;Animation;76507756.0;Rugrats in Paris: The Movie;6.1;8974.0;2000.0;;;;;;
64;30000000.0;Disney Television Animation;Animation;45554533.0;The Tigger Movie;6.3;14258.0;2000.0;;;;;;
65;16000000.0;4 Kids Entertainment;Animation;17052128.0;Pokémon 3: The Movie;5.7;10090.0;2000.0;;;;;;
66;0.0;Athanor;Animation;116710.0;Greedy Guts;7.4;5091.0;2000.0;;;;;;
67;0.0;BMG Funhouse;Animation;25521.0;Vampire Hunter D: Bloodlust;7.7;24614.0;2000.0;;;;;;
68;5000000.0;Saban Entertainment;Animation;9628751.0;Digimon: The Movie;6;5625.0;2000.0;;;;;;
69;19000000.0;Tokuma Shoten;Animation;10055859.0;Spirited Away;8.6;476278.0;2001.0;;;;;;
70;115000000.0;Pixar Animation Studios;Animation;289916256.0;Monsters, Inc.;8.1;652440.0;2001.0;;;;;;
71;60000000.0;DreamWorks Animation;Animation;267665011.0;Shrek;7.9;506495.0;2001.0;x;;;;Shrek;
72;120000000.0;Walt Disney Feature Animation;Animation;84052762.0;Atlantis: The Lost Empire;6.8;80961.0;2001.0;;;;;;
73;0.0;Fox Searchlight Pictures;Animation;2892011.0;Waking Life;7.8;52974.0;2001.0;;;;;;
74;70000000.0;Warner Bros.;Animation;13596911.0;Osmosis Jones;6.3;27295.0;2001.0;;;;;;
75;30000000.0;Paramount Pictures;Animation;80936232.0;Jimmy Neutron: Boy Genius;6;25867.0;2001.0;;;;;;
76;137000000.0;Chris Lee Productions;Animation;32131830.0;Final Fantasy: The Spirits Within;6.4;75443.0;2001.0;;;;;;
77;0.0;Bandai Visual Company;Animation;1000045.0;Cowboy Bebop: The Movie;7.9;35003.0;2001.0;;;;;;
78;75000000.0;Twentieth Century Fox Film Corporation;Animation;5411999.0;Monkeybone;4.7;15048.0;2001.0;;;;;;
79;0.0;Bandai Visual Company;Animation;37285.0;Millennium Actress;7.9;16917.0;2001.0;;;;;;
80;23000000.0;Disney Television Animation;Animation;36696761.0;Recess: School's Out;6.6;7522.0;2001.0;;;;;;
81;84000000.0;Warner Bros.;Animation;153288182.0;Scooby-Doo;5;77811.0;2002.0;;;;;;
82;59000000.0;Twentieth Century Fox Film Corporation;Animation;176387405.0;Ice Age;7.6;357258.0;2002.0;;;;;Ice Age;
83;80000000.0;Walt Disney Pictures;Animation;145794338.0;Lilo & Stitch;7.2;131270.0;2002.0;;;;;;
84;140000000.0;Walt Disney Feature Animation;Animation;38176783.0;Treasure Planet;7.1;79637.0;2002.0;;;;;;
85;80000000.0;DreamWorks Animation;Animation;73280117.0;Spirit: Stallion of the Cimarron;7.1;50166.0;2002.0;;;;;;
86;34000000.0;Happy Madison Productions;Animation;23443124.0;Eight Crazy Nights;5.3;19027.0;2002.0;;;;;;
87;120000000.0;Columbia Pictures Corporation;Animation;64956806.0;Stuart Little 2;5.4;40457.0;2002.0;;;;;;
88;20000000.0;Disney Television Animation;Animation;48430258.0;Peter Pan II: Return to Neverland;5.8;14642.0;2002.0;;;;;;
89;11000000.0;Cartoon Network Studios;Animation;11411644.0;The Powerpuff Girls Movie;6.5;8247.0;2002.0;;;;;;
90;25000000.0;Paramount Pictures;Animation;40108697.0;The Wild Thornberrys Movie;5.3;12741.0;2002.0;;;;;;
91;3000000.0;Paramount Pictures;Animation;13684949.0;Hey Arnold! The Movie;5.9;5065.0;2002.0;;;;;;
92;94000000.0;Pixar Animation Studios;Animation;380843261.0;Finding Nemo;8.1;772029.0;2003.0;;;;;;
93;60000000.0;DreamWorks;Animation;26483452.0;Sinbad: Legend of the Seven Seas;6.7;39745.0;2003.0;;;;;;
94;128000000.0;Walt Disney Feature Animation Florida;Animation;85336277.0;Tierra de osos;6.8;77498.0;2003.0;;;;;;
95;80000000.0;Warner Bros.;Animation;20991364.0;Looney Tunes: Back in Action;5.7;26853.0;2003.0;;;;;;
96;25000000.0;Klasky-Csupo;Animation;39399750.0;Rugrats Go Wild;5.6;6205.0;2003.0;;;;;;
97;9500000.0;Les Armateurs;Animation;7002255.0;The Triplets of Belleville;7.8;44860.0;2003.0;;;;;;
98;0.0;Madhouse;Animation;128985.0;Tokyo Godfathers;7.9;22266.0;2003.0;;;;;;
99;20000000.0;Disney Television Animation;Animation;47887943.0;The Jungle Book 2;5.4;12558.0;2003.0;;;;;;
100;0.0;Disneytoon Studios;Animation;23103423.0;Piglet's Big Movie;6;5240.0;2003.0;;;;;;
101;92000000.0;Pixar Animation Studios;Animation;261441092.0;The Incredibles;8;520926.0;2004.0;;;;;;
102;24000000.0;Buena Vista Home Entertainment;Animation;4711096.0;Howl's Moving Castle;8.2;242412.0;2004.0;;;;;;
